类型,链接,标题,内容
Proof,https://statproofbook.github.io//P/cuni-mean,Mean,
Proof,https://statproofbook.github.io//P/cuni-med,Median,
Proof,https://statproofbook.github.io//P/cuni-mode,Mode,
Proof,https://statproofbook.github.io//P/cuni-var,Variance,
Proof,https://statproofbook.github.io//P/cuni-dent,Differential entropy,
Definition,https://statproofbook.github.io//D/norm,Definition,
Definition,https://statproofbook.github.io//D/snorm,Standard normal distribution,
Proof,https://statproofbook.github.io//P/norm-snorm,Relationship to standard normal distribution,
Proof,https://statproofbook.github.io//P/norm-snorm2,Relationship to standard normal distribution,
Proof,https://statproofbook.github.io//P/norm-snorm3,Relationship to standard normal distribution,
Proof,https://statproofbook.github.io//P/norm-chi2,Relationship to chi-squared distribution,
Proof,https://statproofbook.github.io//P/norm-t,Relationship to t-distribution,
Proof,https://statproofbook.github.io//P/norm-mvn,Special case of multivariate normal distribution,
Proof,https://statproofbook.github.io//P/norm-gi,Gaussian integral,
Proof,https://statproofbook.github.io//P/norm-pdf,Probability density function,
Proof,https://statproofbook.github.io//P/norm-mgf,Moment-generating function,
Proof,https://statproofbook.github.io//P/norm-cdf,Cumulative distribution function,
Proof,https://statproofbook.github.io//P/norm-cdfwerf,Cumulative distribution function without error function,
Proof,https://statproofbook.github.io//P/norm-probstd,Probability of being within standard deviations from mean,
Proof,https://statproofbook.github.io//P/norm-qf,Quantile function,
Proof,https://statproofbook.github.io//P/norm-mean,Mean,
Proof,https://statproofbook.github.io//P/norm-med,Median,
Proof,https://statproofbook.github.io//P/norm-mode,Mode,
Proof,https://statproofbook.github.io//P/norm-var,Variance,
Proof,https://statproofbook.github.io//P/norm-fwhm,Full width at half maximum,
Proof,https://statproofbook.github.io//P/norm-extr,Extreme points,
Proof,https://statproofbook.github.io//P/norm-infl,Inflection points,
Proof,https://statproofbook.github.io//P/norm-dent,Differential entropy,
Proof,https://statproofbook.github.io//P/norm-kl,Kullback-Leibler divergence,
Proof,https://statproofbook.github.io//P/norm-maxent,Maximum entropy distribution,
Proof,https://statproofbook.github.io//P/norm-lincomb,Linear combination,
Definition,https://statproofbook.github.io//D/t,Definition,
Definition,https://statproofbook.github.io//D/nst,Non-standardized t-distribution,
Proof,https://statproofbook.github.io//P/nst-t,Relationship to non-standardized t-distribution,
Proof,https://statproofbook.github.io//P/t-mvt,Special case of multivariate t-distribution,
Proof,https://statproofbook.github.io//P/t-pdf,Probability density function,
Definition,https://statproofbook.github.io//D/gam,Definition,
Definition,https://statproofbook.github.io//D/sgam,Standard gamma distribution,
Proof,https://statproofbook.github.io//P/gam-sgam,Relationship to standard gamma distribution,
Proof,https://statproofbook.github.io//P/gam-sgam2,Relationship to standard gamma distribution,
Proof,https://statproofbook.github.io//P/gam-wish,Special case of Wishart distribution,
Proof,https://statproofbook.github.io//P/gam-pdf,Probability density function,
Proof,https://statproofbook.github.io//P/gam-cdf,Cumulative distribution function,
Proof,https://statproofbook.github.io//P/gam-qf,Quantile function,
Proof,https://statproofbook.github.io//P/gam-mean,Mean,
Proof,https://statproofbook.github.io//P/gam-var,Variance,
Proof,https://statproofbook.github.io//P/gam-logmean,Logarithmic expectation,
Proof,https://statproofbook.github.io//P/gam-xlogx,Expectation of x ln x,
Proof,https://statproofbook.github.io//P/gam-dent,Differential entropy,
Proof,https://statproofbook.github.io//P/gam-kl,Kullback-Leibler divergence,
